name,address,type,leisure_ype,photo_reference,rating,place_id
"Handloom Gallery, Battaramulla","57/4 Main St, Battaramulla 10120, Sri Lanka","point_of_interest, establishment",shop,AUacShicA1GVk7DLnsGOQ0pI2WbmQNTIJPw0-Mpt3WoP_X2nkL5rm3cKBa_zBmO-WoXa7Jcvbkq1Cm8EbW6xafrI7HFOx3RgdxvxAZG_-wYJQhfNqOnTQBkwZF0T7g02BKSazRW-9qoOe8bQVvhmeBlGgYjNTSznOt4FLSis72-C5L4Plg7D,81,ChIJB0EY1v5Z4joRfu-VdpHT3Bg
Kreation House Of Cotton (Mount),"191 A Galle Rd, Dehiwala-Mount Lavinia, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShhkFe7Q4d9zLRXJHE_A9R8pLeq6z3IwY-W5TIQVH56i_N_RBml8ya5T0nLWpWzhNZOyhgiopPmAH6B-60Zkb87ynXrPZA8v07ZYdiludczDmgq9k0q87OrQ-ClgB-hQb_zHwb8qlOp421GYcH4AIQvRnzv5WsfzfNSinEJkC8OInf-o,144,ChIJB6xTBcRb4joROGYhQZHTgKo
Barefoot,"704 Colombo - Galle Main Rd, Colombo 00300, Sri Lanka","tourist_attraction, store, point_of_interest, establishment",shop,AUacShho2OZnePHRmdW8N9SFXIs7zNPlJB15UKVewjhOZf01CUihBVYLKwgX0Stp3pIykcXYFZ6zGQPMofxRtoe7PnRrIe-pFo29jHNl6Jk2TbNAcewyIMMuH0lD6mpIzwJ3WlO8DBFXtwd4DT1cXvmDXkyCYP-bnf1khJpj-WURirz463td,2292,ChIJW5oEpd9b4joR0Ffs0ikstfI
S &S Handloom Sarees,"Sri Siddhartha Passage, Colombo 00500, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShi7wyuovCIHum3rdcic5YYsNf_ahi9HtomxF6tnZ48STgf2ghyvTSWLgn-6FYw734V9v7z47I7NaXtmAOtFYwFH7rFfAPBNH_EC0b46cHdogkc6vgDg4Re1HKrDy7d_xcSsy8U2QGoEKcrL9Fq_yT1oX68oYQoAYbnX13EVjyien8Yj,2,ChIJoaZWFjlb4joRebf9cMns-ik
"Craft Lanka Production and Training Center of Handloom Textile,","XWQM+JG4, Kadawatha, Sri Lanka","store, point_of_interest, establishment",shop,no photo,6,ChIJYxdzIwn44joRO0bAVJPpuds
Ceylon Stores,"254 Sigera Rd, Sri Jayawardenepura Kotte 10100, Sri Lanka","clothing_store, jewelry_store, home_goods_store, store, food, point_of_interest, establishment",shop,AUacShiGK0GsmvMzZKUrVT1tDeOnRNZMdZM1VrGD1na-WPxwM9WGwy5dY9ha3ahchL_GGvfYwawX0Zlt5rPP3kV353Y7Pe0QDbY0dyzuPt8inEk5iEW2t0AZ0ycNqx0lyPUFVjcGr9dxNoGKI9AphloiHm18lNAvcRkHvzTkLx9dEsEH0JSa,0,ChIJNwPjZkBR4joRkZhhamleJFQ
"Vinoma Handlooms, Batik And Salon","73 Havelock Rd, Colombo 06000, Sri Lanka","clothing_store, beauty_salon, store, point_of_interest, establishment",shop,AUacShhmo0kyvFz09HSBHbPQn8pB0S9CwYUmUXXBga1-JejlJoKc9JXc_5Ywn_FcjAby0rdXFmRHk1bYJxPF2fLsNaAvw0a_7XlM95r5EEwgwpiRzxu4BUGpH0hdWLs-FpkgG65Xysd1ql7hGLjoaGqLYmLu7gQn8ENi2tleObZDaylRzXEW,2,ChIJjVSrg9Bb4joRN2yr0mcmSJY
Ko Lanka,"702 Galle Rd, Colombo 00300, Sri Lanka","store, point_of_interest, establishment",shop,AUacShiYB6J1_vbB50Xb2kDLCQkYsS_9J5hYDuon-hq9z3MbZCju1mr3pgOdfzjlw_Fbs0IQ-xDT3K1vRCdl77bRlmQNAnW-EsH0fenNgrrJcTj8EQ_NYYtoaU5JL7j-OUkHFgGSk4B9xf2BWwj7B-KXhWP6P--ISbmIu6RCXHhOZTJ3K7Y,115,ChIJcxvTia9b4joRtYov_36HI0s
Mother Sri Lanka Showroom,"614 Sri Jayawardenepura Mawatha, Sri Jayawardenepura Kotte, Sri Lanka","store, point_of_interest, establishment",shop,AUacShjwBFUQjbQ506GAV3BwhaClnRXGpnBeAaQJKll09aD2xS3aYXQ_NmGXL37u5lSpsJMcmkmbC6u6Dix0irxjyLu-CPuD7PlQL6KWw7DdIn7Q8SOenALYDuY0LVbYggwK6Lfs-vJV2z3WOu2nccYR-NTxqh24ndFrqp5EHxYBg4cU_W7g,24,ChIJ0QMmvGRZ4joRcSBgbQJxzFA
The Colombo Mall,"1307/B Samagi Mawatha, Road, Battaramulla 10120, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShhhSlaopfYhpJyYJl7R_8jN1d3dgdHEqlVmce0NU4PUc4yQ-OPokVWy4-DbHIje__xdltC2O26MBhse2sQdCnw06Fu0kFhop_WOp5QwcTrS4XA7eYQlrzseMkzxuU4ooxhmj9UQqvtEhwIJhmnm-bAPGzM6DdCrFuZY13bi7oINRnYN,6,ChIJ_fUSvQ5b4joR0ByxCenBaes
Craft Lanka Biyagama,"New Kandy Rd, Sri Lanka","store, point_of_interest, establishment",shop,AUacShhRq3_-J9FhY6Ot5kyqmc_3mboGsNcZdK_cR72lKvW9b_HQueNN74tRXaWl1cFKgDKbNxsfPDug3LnQQvtPI8Qxxd8WJig9mUVK-CRjgsKAEudPszKYMpmcQ_VB5fmEXcR2JTqLGYWRw2sdWbLo9FkJhSTvKGmPDQnN-uHufbSIGsi2,3,ChIJXcxQk4pW4joRybBqdjWD14g
Cinnamon Nature Trails,"WRHX+PVP, Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhIe5XQ58BDg79AJ0-pQTYq9ROTNiTAomuT0zal8kln_8SXxSA7pyrUninX869G8LHDbplyB4FoNYz4anZQhMHbm2fSw-0KPqdo6te1mPwuATOka_KiP1VgZA7WRXcKNZPuujp-wK0Fqf_yoDnJDQterPB3hP94nIFI4Ugq0OXtb0WR,9,ChIJJ-X2JT1Z4joRqbdv2ntCisE
Colombo City Walks,"Echelon Square, Old Dutch Hospital Complex, Hospital St, Colombo 00100, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjeDpFp7no_vemZ9Hsy_Ja7lYT-Zt3biZw3tXcN5URtLBWSsJ4YHKv9guzaMiidulraK1Usf8kCuL3IUjt2LF5XZew3-vCE78CMSA1P4FpYaM5PAZqNVbILtHCdHJR6UlnlFCWT3OnJkBmxbvhP9GoYkutwXyiQzIvLI6hz3kPtQc7R,23,ChIJ-SwBZ3JZ4joR9dr6T7OhFwg
Diyatha Uyana,"WW35+RWG, B240, Sri Jayawardenepura Kotte, Sri Lanka","tourist_attraction, amusement_park, park, point_of_interest, establishment",visit,AUacShj00tdEV5Klyw1wIira7qpShjW1TBOBOGntmsoYO6gnk0OyTFZxrmZIChtkFIJFf4jVDIM0P1GKdiqL24QZSx2MmdFYDfy46mNeRfGyinJVGKoVyekAWYPZD56-o4XT4BQEZdA1eGslAAp33put8uGhEVICZ-8TrUa1iqP-JPgGxGC3,24920,ChIJ7RLZi_lZ4joRG_yTVVSrydw
Dream Destinations DMC,"No. 11 Sirimavo Bandaranaike Mawatha, Colombo 01300, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,no photo,2,ChIJfYlxXPxY4joRj-QfzZY2cHo
Gangaramaya Temple,"61 Sri Jinarathana Rd, Colombo 00200, Sri Lanka","tourist_attraction, place_of_worship, point_of_interest, establishment",visit,AUacShjXkxMO_1N4KZzse6CAKD-UfzwK6OsJZsrEdAjp14rqVQZtsI3ICoRATFpj2cdmZ0rbA_tJhaUIQbMhWAS64TZylw_Xvk-N1lKQgVTW0YVOD_P9XvUTA3ZkChxyx8S3o3z9zvN51ZqZeDaDrQBvO_NVmZgEMdkLMz-W0z-EYjBReOqG,9260,ChIJQ9yCmWtZ4joRNu1evW41NTo
තොටලඟ තොරණ,"Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhGUI3rNFJaHWA_G9xcaMXY4eFRgj7OvNxGI69AwL-qlqxiUD-v5CrcKEyoSXg8n9yX5JZXNEhC5VgkQ_WLOBul_yE4Hp7dsjs2mgTrEzKIkV2izXmqOKKobYrHpSPKmrdP3yh4Q6RmzmyIdtUyhnzXN7cxbtqvz748J1l1No5a8IIi,4,ChIJ54_VqnBZ4joR7bQAhILSyKg
Port City View Point,"WRHQ+347, Port City Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhCmKkppw6QHC5jK1-6a5PebcFYs0pdpx7a8llWeZVBoV8JeFPLhHRlTjVibm5Qok5OpsLGuoxTi98P15IxPgy0vVNLFNHweaFHOKZf4khjJ7Gz6PPNO8GOkyr6d2uDfoARJw32o9TLMVAfSBgoXzbrTSoKuNmOxP4EPCsMlaiW6yUw,2,ChIJo7RD4mpZ4joR2JQ1Zwyzlws
Colombo Lighthouse,"WRPR+G84, Chaithya Rd, Colombo 00100, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhNQOVOc_yqq9EWpdNzUqOSvV0sQyNSnZ9U1xQLAowoIrK-2XizzbHtgVpzJV-z8h2y1UkiJYI9jIff_YacfxcHheKnQbYfgzPHj57EifeMcOaZpFt-1eayf5hc3gvawIZpwfm1GCJ6MN2RarOmiwZcwl7f1iOomZdbFCTFEm65oSYA,579,ChIJfwlVoChZ4joRUTiFogQJMtI
Cruise Pier Colombo,"WRRV+JVH, Unnamed Road, Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShga2d5VL2WIGQWGyRrcpGh3-eHhFMQnHfWSzjdW_JzVa4aeo_-9_WtK8pKc2bdl_h-g2dwF2J271BDVTh7lqBceuDQ_7ifWx95QNCdLzoDTSpS4SvXERkklmJpvnWgICqH2nlZQ1iIyA2ZFvxizyTz7D5ta9fvyHDTgMTxukkvPPZwJ,4,ChIJQ3y2stVZ4joRSNzMigrkQz8
Queen Viharamahadevi Statue,"WV77+J84, Colombo 00700, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjzjV8a1Why77zVjWDzouOBr31X4E3BbdQkVERDwDcxMZTzQnPL8Ci9AaHwTBzK1zwMyzuKDwCxd5GukzihnpMtqaWJfYSgiwsaOnNbLfAQxpXEx-BGbC56R1vgKk9_bzk74erVMZKxcpKzyHmQ9u9pd8CLY9n4WCLCK_Y1I3S1FLPT,20,ChIJEZXx_XFZ4joRIUa1C6LZhts
Hanwella ganthota,"W35F+56Q, Avissawella Rd, Hanwella, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhSUCYtIOhm9x0x96VZ03W-D3gkrZ8g0Z0JuGxDNOqhBGxyOTv0_fXuVRlyOu91yrj5m4LYIPGQoy1FauLF2T_3NJV-3mZjVrA9tlF3XagXLgLi1e8K2KQkW2Bk2OtYrJdbOpo3dMH1HvmPmRjnBucJ6YrRPikYYCw40WtO7Et9W0jR,15,ChIJ7e1bUsZV4joRy2APLSuU_5w
Explore Sri Lanka,"574/14, SUBASADAKA MAWATHA, ඇරැව්වල පාර, Pannipitiya 10230, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShg4X3X0olE1VjtnBgKUaqOStuHctAOljB88pAAfF-X3-Lgf8fk-fAd0m05c3niYs0LOpMOSq-YBL4PUduBx8P7Dzviem8CoAu5-t-FYnmIO4VhE0rAwLFzj9_aoX6hX_pM1xT5wPBUBIBCDkuJE_q3v7SkaTI89CFT-nl-YEVdyIcBX,6,ChIJ-fsH8ItR4joRbmyofWf2qQY
Visit Sri Lanka,"WV23+P5P, Galle Rd, Colombo 10400, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShieR7zjR0szHzi-UD3EKmjEkNlPD_R8g7YTAwnob7bBsecMmpiRBXO7VRGCzBkkFWEDrI-QuG1mJW4bHobTiZ2lLl8mwcmaNI9JDrK42XS-lYwLCcqTnik5wVnntaSnm1obSlEmKVRxHzhi7YdFXgbvRE0gB0zVsy6pf0SNerw-l9Vh,0,ChIJs48Ow81Z4joRaq9-tZxx3xU
Marina Promenade,"WRHQ+8P2, Port City Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShh2J_1__oWZlDBYT7tmbm579vRggRD18o0mszbra8DatVbYEy2g9wrxzQ37ZpNKz5Z5viWhwOjneOTpgNGgvNihAHhdmG6GXNl1A9Z96UkBKCNIRRXfW4zeSMlmOg24o1qUKDOamwPf6-uc5iJnguw9-49UvY3g3bAAMz543Ab9vRAX,18,ChIJZZxAkBdZ4joRR8rJe82LmRw
Boardwalk,"VWHJ+H6F, Ruhunupura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShifv8frdEODn6moAaWq-eOzumBEN5pJLDRVcyviGrf0jgVGBZA0xHwNzvCjerpN3eTVlP1ryLCKIESI1KUsV2sUWL_PpZJz6mYEOMFFgFIjD0h4P0l3dEYr6kKp7tUf_Bu9bS1ekd9V0zm0qIW6Y0oyKXh3rXbHuaXvb-3ti3j-0R3B,2,ChIJuSWgvNdR4joRxJxFnm3xZbA
Diyawanna Floating Deck,"VWR6+M65, Rampart Rd, Sri Jayawardenepura Kotte 10100, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShi_n7YTFTHZDnGx0a4hVAl9DzXQBOBu8FvQRTgElOXENcdULSvJ7dV6U0f-KSpbUb3_HgyauaXoq0tPqWQX6Cm330IoJWIC8i19tMT5evEaQnb6z4EUlRuiQJBzmwGSAgMU9qDUu_YATq7pkIX83O1T0FIUO2txKLzHptfN6O8_7AxW,12,ChIJWXDFNe5b4joRPWrccoBeOnw
Olu uyana,"VWCH+QJM, Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,no photo,0,ChIJ73aw7ytR4joRkMKVDyN6MBM
Crow Island Beach Park,"Crow Island Rd, Colombo, Sri Lanka","park, tourist_attraction, point_of_interest, establishment",visit,AUacShjPxJ2d6pTmGDI1e_nFqAOkNPKzHG0JChVJcGcfgW5P96RN43Si-WT4J-1MX3W4PFQvZY3yykboS_IRChQhu8OsrWZDqcN0LsMA7d3IfKwYXn5PyaU3R3XnkUGfUdt2qa-99UXspkCfsd5Nkw-7kkC1S8frFttzP0DroqCB_6agexm8,2731,ChIJEQ6gBYZY4joRGso2Eorinxs
Dehiwala beech,"38/4 Siripala Rd, Dehiwala-Mount Lavinia, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShi0jg6nmnuNnaON_OSpbN34liDE23JBs5ApkAzjCsyasdKFRDuSHdFPSHaSBT0W72Ts5qkw6tmPFzsHDHWyyaIW6AYQ2RrvUhDgvkqrJnBg037MYeJr3rVUsrTgGXjPc2NkjCIr-nCOeJY28wslI94qTN1RRSEqtB0hOADPEKh70AWS,4,ChIJoaq6csdb4joRh3DNnVhEEm8
Pepiliyana Water Reserve,"113 Suriyamal Mawatha, Nugegoda, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjoIPzUUOOiOEoP0PmV_RVFpSiVaLZJ0X9Szt57hBdAknXHScUrHVFpXWlCEbHruIBqhjBAUSQLA50ArZxgJGMT4iGeXsdtiI-540ByNzt8ctm0MYTVkTQrwiXO3uStXhNF7-M461cKugRzMuLZdWIP37uniFki9E59KDcHF0ZV7biB,13,ChIJua9Q7-pb4joRHpYkFgt2vtM
